paper_id,dblp_key,congress,level,area,year,window,title,reason
P0001506,conf/esa/Goldberg01,ESA,A,Teoría,2001,2001-2005,A Simple Shortest Path Algorithm with Linear Average Time.,no_drops_title_match_or_no_volume
P0001527,conf/esop/Backhouse01,ESOP,A,Ing. del Software,2001,2001-2005,Fusion on Languages.,no_drops_title_match_or_no_volume
P0001535,conf/esop/CuoqP01,ESOP,A,Ing. del Software,2001,2001-2005,Modular Causality in a Synchronous Stream Language.,no_drops_title_match_or_no_volume
P0001649,conf/focs/GuruswamiI01,FOCS,A*,Teoría,2001,2001-2005,Expander-Based Constructions of Efficiently Decodable Codes.,no_drops_title_match_or_no_volume
P0001674,conf/focs/Sudan01,FOCS,A*,Teoría,2001,2001-2005,Coding Theory: Tutorial and Survey.,no_drops_title_match_or_no_volume
P0001757,conf/gd/Ryall00,GD,A,Teoría,2001,2001-2005,GLIDE.,no_drops_title_match_or_no_volume
P0001758,conf/gd/SanderV00,GD,A,Teoría,2001,2001-2005,The ILOG JViews Graph Layout Module.,no_drops_title_match_or_no_volume
P0001894,conf/icalp/AlurEY01,ICALP,A*,Teoría,2001,2001-2005,Realizability and Verification of MSC Graphs.,no_drops_title_match_or_no_volume
P0001897,conf/icalp/Baum-Waidner01,ICALP,A*,Teoría,2001,2001-2005,Optimistic Asynchronous Multi-party Contract Signing with Reduced Number of Rounds.,no_drops_title_match_or_no_volume
P0001899,conf/icalp/BenediktGR01,ICALP,A*,Teoría,2001,2001-2005,Model Checking of Unrestricted Hierarchical State Machines.,no_drops_title_match_or_no_volume
P0001972,conf/icalp/Tiskin01,ICALP,A*,Teoría,2001,2001-2005,All-Pairs Shortest Paths Computation in the BSP Model.,no_drops_title_match_or_no_volume
P0002806,conf/icdt/AggarwalHK01,ICDT,A,Bases de datos,2001,2001-2005,On the Surprising Behavior of Distance Metrics in High Dimensional Spaces.,no_drops_title_match_or_no_volume
P0002823,conf/icdt/KuperS01,ICDT,A,Bases de datos,2001,2001-2005,Subsumption for XML types.,no_drops_title_match_or_no_volume
P0002827,conf/icdt/MeussSB01,ICDT,A,Bases de datos,2001,2001-2005,Towards Aggregated Answers for Semistructured Data.,no_drops_title_match_or_no_volume
P0002831,conf/icdt/SinhaBC01,ICDT,A,Bases de datos,2001,2001-2005,Asymptotically Optimal Declustering Schemes for Range Queries.,no_drops_title_match_or_no_volume
P0006420,conf/lics/Abiteboul01,LICS,A*,Teoría,2001,2001-2005,Semistructured Data: from Practice to Theory.,no_drops_title_match_or_no_volume
P0006459,conf/lics/Thomas01,LICS,A*,Teoría,2001,2001-2005,The Engineering Challenge for Logic.,no_drops_title_match_or_no_volume
P0007133,conf/podc/DetlefsMMS01,PODC,A*,Sistemas,2001,2001-2005,Lock-free reference counting.,no_drops_title_match_or_no_volume
P0007143,conf/podc/Herlihy01,PODC,A*,Sistemas,2001,2001-2005,On beyond registers: wait-free readable objects.,no_drops_title_match_or_no_volume
P0007145,conf/podc/HuangG01,PODC,A*,Sistemas,2001,2001-2005,Replicated condition monitoring.,no_drops_title_match_or_no_volume
P0007146,conf/podc/JakobssonJ01,PODC,A*,Sistemas,2001,2001-2005,An optimally robust hybrid mix network.,no_drops_title_match_or_no_volume
P0007156,conf/podc/Moir01,PODC,A*,Sistemas,2001,2001-2005,Correction: practical implementations of non-blocking synchronization primitives.,no_drops_title_match_or_no_volume
P0007189,conf/pods/Schuldt01,PODS,A*,Bases de datos,2001,2001-2005,Process Locking: A Protocol based on Ordered Shared Locks for the Execution of Transactional Processes.,no_drops_title_match_or_no_volume
P0007926,conf/soda/AbiteboulKM01,SODA,A*,Teoría,2001,2001-2005,Compact labeling schemes for ancestor queries.,no_drops_title_match_or_no_volume
P0007927,conf/soda/AchlioptasCIM01,SODA,A*,Teoría,2001,2001-2005,The phase transition in 1-in-k SAT and NAE 3-SAT.,no_drops_title_match_or_no_volume
P0007928,conf/soda/AgarwalH01,SODA,A*,Teoría,2001,2001-2005,Maintaining approximate extent measures of moving points.,no_drops_title_match_or_no_volume
P0007929,conf/soda/AlonSZ01,SODA,A*,Teoría,2001,2001-2005,Constructing worst case instances for semidefinite programming based approximation algorithms.,no_drops_title_match_or_no_volume
P0007930,conf/soda/AlstrupHR01,SODA,A*,Teoría,2001,2001-2005,A cell probe lower bound for dynamic nearest-neighbor searching.,no_drops_title_match_or_no_volume
P0007931,conf/soda/AlthausDKMNT01,SODA,A*,Teoría,2001,2001-2005,An efficient algorithm for the configuration problem of dominance graphs.,no_drops_title_match_or_no_volume
P0007932,conf/soda/AmirCHLP01,SODA,A*,Teoría,2001,2001-2005,Overlap matching.,no_drops_title_match_or_no_volume
P0007933,conf/soda/AmirPL01,SODA,A*,Teoría,2001,2001-2005,Approximate subset matching with Don't Cares.,no_drops_title_match_or_no_volume
P0007934,conf/soda/AmitLMR01,SODA,A*,Teoría,2001,2001-2005,Random lifts of graphs.,no_drops_title_match_or_no_volume
P0007935,conf/soda/AndersonT01,SODA,A*,Teoría,2001,2001-2005,The inverse nearest neighbor problem with astrophysical applications.,no_drops_title_match_or_no_volume
P0007936,conf/soda/AnderssonT01,SODA,A*,Teoría,2001,2001-2005,Dynamic string searching.,no_drops_title_match_or_no_volume
P0007937,conf/soda/ArkinBDFMS01,SODA,A*,Teoría,2001,2001-2005,Optimal covering tours with turn costs.,no_drops_title_match_or_no_volume
P0007938,conf/soda/AryaMM01,SODA,A*,Teoría,2001,2001-2005,Entropy-preserving cuttings and space-efficient planar point location.,no_drops_title_match_or_no_volume
P0007939,conf/soda/AryaMM01a,SODA,A*,Teoría,2001,2001-2005,A simple entropy-based algorithm for planar point location.,no_drops_title_match_or_no_volume
P0007940,conf/soda/AspnesFFKK01,SODA,A*,Teoría,2001,2001-2005,Towards understanding the predictability of stock markets from the perspective of computational complexity.,no_drops_title_match_or_no_volume
P0007941,conf/soda/BaevR01,SODA,A*,Teoría,2001,2001-2005,Approximation algorithms for data placement in arbitrary networks.,no_drops_title_match_or_no_volume
P0007942,conf/soda/Bar-NoyL01,SODA,A*,Teoría,2001,2001-2005,Competitive on-line stream merging algorithms for media-on-demand.,no_drops_title_match_or_no_volume
P0007943,conf/soda/BarbayK01,SODA,A*,Teoría,2001,2001-2005,On the discrete Bak-Sneppen model of self-organized criticality.,no_drops_title_match_or_no_volume
P0007944,conf/soda/BenderPSS01,SODA,A*,Teoría,2001,2001-2005,Finding least common ancestors in directed acyclic graphs.,no_drops_title_match_or_no_volume
P0007945,conf/soda/BermanDMR01,SODA,A*,Teoría,2001,2001-2005,Improved approximation algorithms for rectangle tiling and packing.,no_drops_title_match_or_no_volume
P0007946,conf/soda/Bern01,SODA,A*,Teoría,2001,2001-2005,Computing the depth of a flat.,no_drops_title_match_or_no_volume
P0007947,conf/soda/Biedl01,SODA,A*,Teoría,2001,2001-2005,Linear reductions of maximum matching.,no_drops_title_match_or_no_volume
P0007948,conf/soda/BorodinOR01,SODA,A*,Teoría,2001,2001-2005,Stability preserving transformations: packet routing networks with edge capacities and speeds.,no_drops_title_match_or_no_volume
P0007949,conf/soda/BoyanM01,SODA,A*,Teoría,2001,2001-2005,IMproved results for route planning in stochastic transportation.,no_drops_title_match_or_no_volume
P0007950,conf/soda/BrehobETW01,SODA,A*,Teoría,2001,2001-2005,On-line restricted caching.,no_drops_title_match_or_no_volume
P0007951,conf/soda/BrodnikCKM01,SODA,A*,Teoría,2001,2001-2005,Worst case constant time priority queue.,no_drops_title_match_or_no_volume
P0007952,conf/soda/Brown01,SODA,A*,Teoría,2001,2001-2005,A probabilistic analysis of a greedy algorithm arising from computational biology.,no_drops_title_match_or_no_volume
P0007953,conf/soda/CalinescuKR01,SODA,A*,Teoría,2001,2001-2005,Approximation algorithms for the 0-extension problem.,no_drops_title_match_or_no_volume
P0007954,conf/soda/CarsonI01,SODA,A*,Teoría,2001,2001-2005,Hill-climbing finds random planted bisections.,no_drops_title_match_or_no_volume
P0007955,conf/soda/CharikarKMN01,SODA,A*,Teoría,2001,2001-2005,Algorithms for facility location problems with outliers.,no_drops_title_match_or_no_volume
P0007956,conf/soda/ChekuriKN01,SODA,A*,Teoría,2001,2001-2005,A deterministic algorithm for the cost-distance problem.,no_drops_title_match_or_no_volume
P0007957,conf/soda/ChekuriKNZ01,SODA,A*,Teoría,2001,2001-2005,Approximation algorithms for the metric labeling problem via a new linear programming formulation.,no_drops_title_match_or_no_volume
P0007958,conf/soda/ChenDHKS01,SODA,A*,Teoría,2001,2001-2005,Polygonal path approximation with angle constraints.,no_drops_title_match_or_no_volume
P0007959,conf/soda/ChenX01,SODA,A*,Teoría,2001,2001-2005,K-pair delay constrained minimum cost routing in undirected networks.,no_drops_title_match_or_no_volume
P0007960,conf/soda/ChengDES01,SODA,A*,Teoría,2001,2001-2005,Dynamic skin triangulation.,no_drops_title_match_or_no_volume
P0007961,conf/soda/ChiangLL01,SODA,A*,Teoría,2001,2001-2005,Orderly spanning trees with applications to graph encoding and graph drawing.,no_drops_title_match_or_no_volume
P0007962,conf/soda/ChinFW01,SODA,A*,Teoría,2001,2001-2005,Approximation for minimum triangulation of convex polyhedra.,no_drops_title_match_or_no_volume
P0007963,conf/soda/ChocklerZ01,SODA,A*,Teoría,2001,2001-2005,Which formulae shrink under random restrictions?,no_drops_title_match_or_no_volume
P0007964,conf/soda/ChungGL01,SODA,A*,Teoría,2001,2001-2005,Guessing secrets.,no_drops_title_match_or_no_volume
P0007965,conf/soda/ClementiMS01,SODA,A*,Teoría,2001,2001-2005,"Selective families, superimposed codes, and broadcasting on unknown radio networks.",no_drops_title_match_or_no_volume
P0007966,conf/soda/CoffmanL01,SODA,A*,Teoría,2001,2001-2005,Approximation algorithms for extensible bin packing.,no_drops_title_match_or_no_volume
P0007967,conf/soda/ColeHLP01,SODA,A*,Teoría,2001,2001-2005,A faster implementation of the Goemans-Williamson clustering algorithm.,no_drops_title_match_or_no_volume
P0007968,conf/soda/CsirikJK01,SODA,A*,Teoría,2001,2001-2005,Better approximation algorithms for bin covering.,no_drops_title_match_or_no_volume
P0007969,conf/soda/CzumajS01,SODA,A*,Teoría,2001,2001-2005,Soft kinetic data structures.,no_drops_title_match_or_no_volume
P0007970,conf/soda/Damian-IordacheP01,SODA,A*,Teoría,2001,2001-2005,Computing optimal alpha-fat and alpha-small decompositions.,no_drops_title_match_or_no_volume
P0007971,conf/soda/DemaineL01,SODA,A*,Teoría,2001,2001-2005,A linear lower bound on index size for text retrieval.,no_drops_title_match_or_no_volume
P0007972,conf/soda/DemaineLM01,SODA,A*,Teoría,2001,2001-2005,On universally easy classes for NP-complete problems.,no_drops_title_match_or_no_volume
P0007973,conf/soda/DodisW01,SODA,A*,Teoría,2001,2001-2005,Universal configurations in light-flipping games.,no_drops_title_match_or_no_volume
P0007974,conf/soda/Doerr01,SODA,A*,Teoría,2001,2001-2005,Lattice approximation and linear discrepency of totally unimodular matrices.,no_drops_title_match_or_no_volume
P0007975,conf/soda/DujmovicW01,SODA,A*,Teoría,2001,2001-2005,On validating planar worlds.,no_drops_title_match_or_no_volume
P0007976,conf/soda/DumitrescuM01,SODA,A*,Teoría,2001,2001-2005,Approximation algorithms for TSP with neighborhoods in the plane.,no_drops_title_match_or_no_volume
P0007977,conf/soda/DuncanKK01,SODA,A*,Teoría,2001,2001-2005,Optimal constrained graph exploration.,no_drops_title_match_or_no_volume
P0007978,conf/soda/EfratHGM01,SODA,A*,Teoría,2001,2001-2005,Morphing between polylines.,no_drops_title_match_or_no_volume
P0007979,conf/soda/EfratIV01,SODA,A*,Teoría,2001,2001-2005,Pattern matching for sets of segments.,no_drops_title_match_or_no_volume
P0007980,conf/soda/EngelsFKR01,SODA,A*,Teoría,2001,2001-2005,Parallel processor scheduling with delay constraints.,no_drops_title_match_or_no_volume
P0007981,conf/soda/Eppstein01,SODA,A*,Teoría,2001,2001-2005,"Improved algorithms for 3-coloring, 3-edge-coloring, and constraint satisfaction.",no_drops_title_match_or_no_volume
P0007982,conf/soda/EppsteinM01,SODA,A*,Teoría,2001,2001-2005,Internet packet filter management and rectangle geometry.,no_drops_title_match_or_no_volume
P0007983,conf/soda/EppsteinW01,SODA,A*,Teoría,2001,2001-2005,Fast approximation of centrality.,no_drops_title_match_or_no_volume
P0007984,conf/soda/ErlebachJS01,SODA,A*,Teoría,2001,2001-2005,Polynomial-time approximation schemes for geometric graphs.,no_drops_title_match_or_no_volume
P0007985,conf/soda/FerraginaM01,SODA,A*,Teoría,2001,2001-2005,An experimental study of an opportunistic index.,no_drops_title_match_or_no_volume
P0007986,conf/soda/FiatK01,SODA,A*,Teoría,2001,2001-2005,Making data structures confluently persistent.,no_drops_title_match_or_no_volume
P0007987,conf/soda/Fischer01,SODA,A*,Teoría,2001,2001-2005,Testing graphs for colorable properties.,no_drops_title_match_or_no_volume
P0007988,conf/soda/FriezeS01,SODA,A*,Teoría,2001,2001-2005,The probabilistic relationship between the assignment and asymmetric traveling salesman problems.,no_drops_title_match_or_no_volume
P0007989,conf/soda/FunkeR01,SODA,A*,Teoría,2001,2001-2005,Reconstructing a collection of curves with corners and endpoints.,no_drops_title_match_or_no_volume
P0007990,conf/soda/GavoillePPR01,SODA,A*,Teoría,2001,2001-2005,Distance labeling in graphs.,no_drops_title_match_or_no_volume
P0007991,conf/soda/GoelIV01,SODA,A*,Teoría,2001,2001-2005,Reductions among high dimensional proximity problems.,no_drops_title_match_or_no_volume
P0007992,conf/soda/GoelMP01,SODA,A*,Teoría,2001,2001-2005,Approximate majorization and fair online load balancing.,no_drops_title_match_or_no_volume
P0007993,conf/soda/GoelMP01a,SODA,A*,Teoría,2001,2001-2005,"Distributed admission control, scheduling, and routing with stale information.",no_drops_title_match_or_no_volume
P0007994,conf/soda/GoldbergHW01,SODA,A*,Teoría,2001,2001-2005,Competitive auctions and digital goods.,no_drops_title_match_or_no_volume
P0007995,conf/soda/GuhaMM01,SODA,A*,Teoría,2001,2001-2005,Improved algorithms for fault tolerant facility location.,no_drops_title_match_or_no_volume
P0007996,conf/soda/Gupta01,SODA,A*,Teoría,2001,2001-2005,Steiner points in tree metrics don't (really) help.,no_drops_title_match_or_no_volume
P0007997,conf/soda/GutwengerMW01,SODA,A*,Teoría,2001,2001-2005,Inserting an edge into a planar graph.,no_drops_title_match_or_no_volume
P0007998,conf/soda/HallHKSW01,SODA,A*,Teoría,2001,2001-2005,On algorithms for efficient data migration.,no_drops_title_match_or_no_volume
P0007999,conf/soda/HalperinNZ01,SODA,A*,Teoría,2001,2001-2005,Coloring k-colorable graphs using smaller palettes.,no_drops_title_match_or_no_volume
P0008000,conf/soda/HalperinZ01,SODA,A*,Teoría,2001,2001-2005,Combinatorial approximation algorithms for the maximum directed cut problem.,no_drops_title_match_or_no_volume
P0008001,conf/soda/Han01,SODA,A*,Teoría,2001,2001-2005,Improved fast integer sorting in linear space.,no_drops_title_match_or_no_volume
P0008002,conf/soda/Har-PeledS01,SODA,A*,Teoría,2001,2001-2005,Online point location in planar arrangements and its applications.,no_drops_title_match_or_no_volume
P0008003,conf/soda/HershbergerS01,SODA,A*,Teoría,2001,2001-2005,Simplified kinetic connectivity for rectangles and hypercubes.,no_drops_title_match_or_no_volume
P0008004,conf/soda/HuangXC01,SODA,A*,Teoría,2001,2001-2005,Geometric permutations of high dimensional spheres.,no_drops_title_match_or_no_volume
P0008005,conf/soda/Iacono01,SODA,A*,Teoría,2001,2001-2005,Optimal planar point location.,no_drops_title_match_or_no_volume
P0008006,conf/soda/Iacono01a,SODA,A*,Teoría,2001,2001-2005,Alternatives to splay trees with O(log n) worst-case access times.,no_drops_title_match_or_no_volume
P0008007,conf/soda/IstrateMR01,SODA,A*,Teoría,2001,2001-2005,Adversarial models in evolutionary game dynamics.,no_drops_title_match_or_no_volume
P0008008,conf/soda/JohnWMV01,SODA,A*,Teoría,2001,2001-2005,Performance study of phylogenetic methods: (unweighted) quartet methods and neighbor-joining.,no_drops_title_match_or_no_volume
P0008009,conf/soda/JohnsonS01,SODA,A*,Teoría,2001,2001-2005,A polynomial time recognition algorithm for probe interval graphs.,no_drops_title_match_or_no_volume
P0008010,conf/soda/KaplanTT01,SODA,A*,Teoría,2001,2001-2005,Faster kinetic heaps and their use in broadcast scheduling.,no_drops_title_match_or_no_volume
P0008011,conf/soda/KaravelasG01,SODA,A*,Teoría,2001,2001-2005,Static and kinetic geometric spanners with applications.,no_drops_title_match_or_no_volume
P0008012,conf/soda/KargerS01,SODA,A*,Teoría,2001,2001-2005,Learning Markov networks: maximum bounded tree-width graphs.,no_drops_title_match_or_no_volume
P0008013,conf/soda/KesselmanM01,SODA,A*,Teoría,2001,2001-2005,Loss-bounded analysis for differentiated services.,no_drops_title_match_or_no_volume
P0008014,conf/soda/KleinSK01,SODA,A*,Teoría,2001,2001-2005,Shape matching using edit-distance: an implementation.,no_drops_title_match_or_no_volume
P0008015,conf/soda/KoblerR01,SODA,A*,Teoría,2001,2001-2005,Polynomial algorithms for partitioning problems on graphs with fixed clique-width (extended abstract).,no_drops_title_match_or_no_volume
P0008016,conf/soda/KortsarzK01,SODA,A*,Teoría,2001,2001-2005,On approximating the achromatic number.,no_drops_title_match_or_no_volume
P0008017,conf/soda/KrivelevichNS01,SODA,A*,Teoría,2001,2001-2005,Approximating coloring and maximum independent sets in 3-uniform hypergraphs.,no_drops_title_match_or_no_volume
P0008018,conf/soda/KumarS01,SODA,A*,Teoría,2001,2001-2005,On polynomial approximation to the shortest lattice vector length.,no_drops_title_match_or_no_volume
P0008019,conf/soda/LaberMP01,SODA,A*,Teoría,2001,2001-2005,On binary searching with non-uniform costs.,no_drops_title_match_or_no_volume
P0008020,conf/soda/LamT01,SODA,A*,Teoría,2001,2001-2005,Performance guarentee for online deadline scheduling in the presence of overload.,no_drops_title_match_or_no_volume
P0008021,conf/soda/LiT01,SODA,A*,Teoría,2001,2001-2005,Generating well-shaped Delaunay meshed in 3D.,no_drops_title_match_or_no_volume
P0008022,conf/soda/LiY01,SODA,A*,Teoría,2001,2001-2005,A new constructive root bound for algebraic expressions.,no_drops_title_match_or_no_volume
P0008023,conf/soda/Liben-Nowell01,SODA,A*,Teoría,2001,2001-2005,Gossip is synteny: incomplete gossip and an exact algorithm for syntenic distance.,no_drops_title_match_or_no_volume
P0008024,conf/soda/Lu01,SODA,A*,Teoría,2001,2001-2005,The diameter of random massive graphs.,no_drops_title_match_or_no_volume
P0008025,conf/soda/MaheshwariZ01,SODA,A*,Teoría,2001,2001-2005,I/O-efficient algorithms for graphs of bounded treewidth.,no_drops_title_match_or_no_volume
P0008026,conf/soda/Makowsky01,SODA,A*,Teoría,2001,2001-2005,Colored Tutte polynomials and Kaufman brackets for graphs of bounded tree width.,no_drops_title_match_or_no_volume
P0008027,conf/soda/MarcoP01,SODA,A*,Teoría,2001,2001-2005,Fast distributed graph coloring with O(Delta) colors.,no_drops_title_match_or_no_volume
P0008028,conf/soda/Meyer01,SODA,A*,Teoría,2001,2001-2005,External memory BFS on undirected graphs with bounded degree.,no_drops_title_match_or_no_volume
P0008029,conf/soda/Meyer01a,SODA,A*,Teoría,2001,2001-2005,Single-source shortest-paths on arbitrary directed graphs in linear average-case time.,no_drops_title_match_or_no_volume
P0008030,conf/soda/MeyersonMP01,SODA,A*,Teoría,2001,2001-2005,Web caching using access statistics.,no_drops_title_match_or_no_volume
P0008031,conf/soda/MillerRRSSSS01,SODA,A*,Teoría,2001,2001-2005,Fast implementation of depth contours using topological sweep.,no_drops_title_match_or_no_volume
P0008032,conf/soda/MishraOP01,SODA,A*,Teoría,2001,2001-2005,Sublinear time approximate clustering.,no_drops_title_match_or_no_volume
P0008033,conf/soda/MunroRS01,SODA,A*,Teoría,2001,2001-2005,Representing dynamic binary trees succinctly.,no_drops_title_match_or_no_volume
P0008034,conf/soda/NaorP01,SODA,A*,Teoría,2001,2001-2005,Efficient oblivious transfer protocols.,no_drops_title_match_or_no_volume
P0008035,conf/soda/NaorR01,SODA,A*,Teoría,2001,2001-2005,Tree packing and approximating k-cuts.,no_drops_title_match_or_no_volume
P0008036,conf/soda/NaorR01a,SODA,A*,Teoría,2001,2001-2005,Constructing pseudo-random permutations with a prescribed structure.,no_drops_title_match_or_no_volume
P0008037,conf/soda/PanduranganU01,SODA,A*,Teoría,2001,2001-2005,Can entropy characterize performance of online algorithms?.,no_drops_title_match_or_no_volume
P0008038,conf/soda/Papadimitriou01,SODA,A*,Teoría,2001,2001-2005,"Game theory, algorithms, and the Internet.",no_drops_title_match_or_no_volume
P0008039,conf/soda/Pellegrini01,SODA,A*,Teoría,2001,2001-2005,Randomizing combinatorial algorithms for linear programming when the dimension is moderately high.,no_drops_title_match_or_no_volume
P0008040,conf/soda/Pemmaraju01,SODA,A*,Teoría,2001,2001-2005,Equitable colorings extend Chernoff-Hoeffding bounds.,no_drops_title_match_or_no_volume
P0008041,conf/soda/RaghavanS01,SODA,A*,Teoría,2001,2001-2005,Robust algorithms for restricted domains.,no_drops_title_match_or_no_volume
P0008042,conf/soda/RautenbachR01,SODA,A*,Teoría,2001,2001-2005,Approximately covering by cycles in planar graphs.,no_drops_title_match_or_no_volume
P0008043,conf/soda/Sanders01,SODA,A*,Teoría,2001,2001-2005,Reconciling simplicity and realism in parallel disk models.,no_drops_title_match_or_no_volume
P0008044,conf/soda/ShahF01,SODA,A*,Teoría,2001,2001-2005,On the midpath tree conjuncture: a counter-example.,no_drops_title_match_or_no_volume
P0008045,conf/soda/SkutellaU01,SODA,A*,Teoría,2001,2001-2005,Scheduling precedence-constrained jobs with stochastic processing times on parallel machines.,no_drops_title_match_or_no_volume
P0008046,conf/soda/Srinivasan01,SODA,A*,Teoría,2001,2001-2005,New approaches to covering and packing problems.,no_drops_title_match_or_no_volume
P0008047,conf/soda/Srinivasan01a,SODA,A*,Teoría,2001,2001-2005,Domatic partitions and the Lovász local lemma.,no_drops_title_match_or_no_volume
P0008048,conf/soda/Vetta01,SODA,A*,Teoría,2001,2001-2005,Approximating the minimum strongly connected subgraph via a matching lower bound.,no_drops_title_match_or_no_volume
P0008049,conf/soda/VitterH01,SODA,A*,Teoría,2001,2001-2005,Distribution sort with randomizing cycle.,no_drops_title_match_or_no_volume
P0008050,conf/soda/WarnowMJ01,SODA,A*,Teoría,2001,2001-2005,Absolute convergence: true trees from short sequences.,no_drops_title_match_or_no_volume
P0008051,conf/soda/Woeginger01,SODA,A*,Teoría,2001,2001-2005,Assigning chain-like tasks to a chain-like network.,no_drops_title_match_or_no_volume
P0008052,conf/soda/ZelikovskyM01,SODA,A*,Teoría,2001,2001-2005,Practical approximation algorithms for zero- and bounded-skew trees.,no_drops_title_match_or_no_volume
P0008053,conf/soda/ZhouS01,SODA,A*,Teoría,2001,2001-2005,Shape sensitive geometric permutations.,no_drops_title_match_or_no_volume
P0008155,conf/stoc/BorgsCP01,STOC,A*,Teoría,2001,2001-2005,Sharp threshold and scaling window for the integer partitioning problem.,no_drops_title_match_or_no_volume
P0008164,conf/stoc/ElkinP01,STOC,A*,Teoría,2001,2001-2005,"(1+epsilon, beta)-spanner constructions for general graphs.",no_drops_title_match_or_no_volume
P0008170,conf/stoc/GennaroIKR01,STOC,A*,Teoría,2001,2001-2005,The round complexity of verifiable secret sharing and secure multicast.,no_drops_title_match_or_no_volume
P0008182,conf/stoc/JerrumSV01,STOC,A*,Teoría,2001,2001-2005,A polynomial-time approximation algorithm for the permanent of a matrix with non-negative entries.,no_drops_title_match_or_no_volume
P0008205,conf/stoc/RazS01,STOC,A*,Teoría,2001,2001-2005,"Lower bounds for matrix product, in bounded depth circuits with arbitrary gates.",no_drops_title_match_or_no_volume
P0008209,conf/stoc/Shparlinski01,STOC,A*,Teoría,2001,2001-2005,Sparse polynomial approximation in finite fields.,no_drops_title_match_or_no_volume
P0008210,conf/stoc/SimaO01,STOC,A*,Teoría,2001,2001-2005,Computing with continuous-time Liapunov systems.,no_drops_title_match_or_no_volume
P0008218,conf/stoc/Trevisan01,STOC,A*,Teoría,2001,2001-2005,Non-approximability results for optimization problems on bounded degree instances.,no_drops_title_match_or_no_volume
P0009145,conf/alenex/Chen02,ALENEX,A,Teoría,2002,2001-2005,An Improvement on Tree Selection Sort.,no_drops_title_match_or_no_volume
P0009446,conf/cav/BarrettDS02,CAV,A*,Ing. del Software,2002,2001-2005,Checking Satisfiability of First-Order Formulas by Incremental Translation to SAT.,no_drops_title_match_or_no_volume
P0009449,conf/cav/BinghamH02,CAV,A*,Ing. del Software,2002,2001-2005,Semi-formal Bounded Model Checking.,no_drops_title_match_or_no_volume
P0009473,conf/cav/Holzmann02,CAV,A*,Ing. del Software,2002,2001-2005,Software Analysis and Model Checking.,no_drops_title_match_or_no_volume
P0009504,conf/coco/Feige02,CCC,A,Teoría,2002,2001-2005,Relations between Average Case Complexity and Approximation Complexity.,no_drops_title_match_or_no_volume
P0009508,conf/coco/GoldreichKST02,CCC,A,Teoría,2002,2001-2005,Lower Bounds for Linear Locally Decodable Codes and Private Information Retrieval.,no_drops_title_match_or_no_volume
