window,rank_eu27_uk,country_code,country_name,country_articles,eu27_uk_articles,share_eu27_uk,share_eu27_uk_pct
2006-2010,8,SE,Sweden,735,22048,0.033336,3.334
2006-2010,9,AT,Austria,648,22048,0.02939,2.939
2006-2010,10,GR,Greece,563,22048,0.025535,2.554
2006-2010,11,FI,Finland,525,22048,0.023812,2.381
2006-2010,12,DK,Denmark,423,22048,0.019185,1.919
2006-2010,13,PT,Portugal,411,22048,0.018641,1.864
2006-2010,14,IE,Ireland,402,22048,0.018233,1.823
2006-2010,15,CZ,Czechia,271,22048,0.012291,1.229
2006-2010,16,PL,Poland,210,22048,0.009525,0.952
2006-2010,17,HU,HU,166,22048,0.007529,0.753
2006-2010,18,SI,SI,71,22048,0.00322,0.322
2006-2010,19,LU,LU,69,22048,0.00313,0.313
2006-2010,20,RO,RO,61,22048,0.002767,0.277
2006-2010,21,CY,CY,38,22048,0.001724,0.172
2006-2010,22,EE,EE,32,22048,0.001451,0.145
2006-2010,23,SK,SK,29,22048,0.001315,0.132
2006-2010,24,HR,HR,19,22048,0.000862,0.086
2006-2010,25,BG,BG,13,22048,0.00059,0.059
2006-2010,26,MT,MT,8,22048,0.000363,0.036
2006-2010,27,LV,LV,6,22048,0.000272,0.027
2006-2010,28,LT,LT,3,22048,0.000136,0.014
2011-2015,1,DE,Germany,6970,26136,0.266682,26.668
2011-2015,2,GB,United Kingdom,5981,26136,0.228841,22.884
2011-2015,3,FR,France,4508,26136,0.172482,17.248
2011-2015,4,IT,Italy,2560,26136,0.097949,9.795
2011-2015,5,ES,Spain,1909,26136,0.073041,7.304
2011-2015,6,NL,Netherlands,1742,26136,0.066651,6.665
2011-2015,7,AT,Austria,1106,26136,0.042317,4.232
2011-2015,8,SE,Sweden,1009,26136,0.038606,3.861
2011-2015,9,BE,Belgium,878,26136,0.033594,3.359
2011-2015,10,GR,Greece,664,26136,0.025406,2.541
2011-2015,11,DK,Denmark,632,26136,0.024181,2.418
2011-2015,12,PT,Portugal,570,26136,0.021809,2.181
2011-2015,13,FI,Finland,562,26136,0.021503,2.15
2011-2015,14,IE,Ireland,462,26136,0.017677,1.768
2011-2015,15,CZ,Czechia,373,26136,0.014272,1.427
2011-2015,16,PL,Poland,284,26136,0.010866,1.087
2011-2015,17,HU,HU,180,26136,0.006887,0.689
2011-2015,18,LU,LU,144,26136,0.00551,0.551
2011-2015,19,RO,RO,100,26136,0.003826,0.383
2011-2015,20,EE,EE,71,26136,0.002717,0.272
2011-2015,20,SI,SI,71,26136,0.002717,0.272
2011-2015,22,CY,CY,55,26136,0.002104,0.21
2011-2015,23,SK,SK,42,26136,0.001607,0.161
2011-2015,24,HR,HR,32,26136,0.001224,0.122
2011-2015,25,LV,LV,19,26136,0.000727,0.073
2011-2015,26,BG,BG,17,26136,0.00065,0.065
2011-2015,27,MT,MT,9,26136,0.000344,0.034
2011-2015,28,LT,LT,3,26136,0.000115,0.011
2016-2020,1,GB,United Kingdom,8966,31263,0.286793,28.679
2016-2020,2,DE,Germany,8270,31263,0.26453,26.453
2016-2020,3,FR,France,4674,31263,0.149506,14.951
2016-2020,4,IT,Italy,2796,31263,0.089435,8.943
2016-2020,5,NL,Netherlands,2370,31263,0.075808,7.581
2016-2020,6,ES,Spain,1536,31263,0.049132,4.913
2016-2020,7,AT,Austria,1469,31263,0.046988,4.699
2016-2020,8,SE,Sweden,1332,31263,0.042606,4.261
2016-2020,9,DK,Denmark,1021,31263,0.032658,3.266
2016-2020,10,BE,Belgium,903,31263,0.028884,2.888
2016-2020,11,FI,Finland,842,31263,0.026933,2.693
2016-2020,12,CZ,Czechia,615,31263,0.019672,1.967
2016-2020,13,GR,Greece,596,31263,0.019064,1.906
2016-2020,14,PT,Portugal,557,31263,0.017817,1.782
2016-2020,15,PL,Poland,550,31263,0.017593,1.759
2016-2020,16,IE,Ireland,445,31263,0.014234,1.423
2016-2020,17,LU,LU,217,31263,0.006941,0.694
2016-2020,18,HU,HU,165,31263,0.005278,0.528
2016-2020,19,RO,RO,126,31263,0.00403,0.403
2016-2020,20,SI,SI,93,31263,0.002975,0.297
2016-2020,21,EE,EE,86,31263,0.002751,0.275
2016-2020,22,CY,CY,73,31263,0.002335,0.234
2016-2020,23,SK,SK,68,31263,0.002175,0.218
2016-2020,24,HR,HR,30,31263,0.00096,0.096
2016-2020,25,BG,BG,25,31263,0.0008,0.08
2016-2020,26,MT,MT,14,31263,0.000448,0.045
2016-2020,27,LV,LV,12,31263,0.000384,0.038
2016-2020,28,LT,LT,5,31263,0.00016,0.016
2021-2025,1,GB,United Kingdom,14709,47038,0.312705,31.27
2021-2025,2,DE,Germany,12955,47038,0.275416,27.542
2021-2025,3,FR,France,6337,47038,0.134721,13.472
2021-2025,4,IT,Italy,4069,47038,0.086505,8.65
2021-2025,5,NL,Netherlands,3865,47038,0.082168,8.217
2021-2025,6,AT,Austria,2217,47038,0.047132,4.713
2021-2025,7,SE,Sweden,2187,47038,0.046494,4.649
2021-2025,8,ES,Spain,1990,47038,0.042306,4.231
2021-2025,9,DK,Denmark,1710,47038,0.036354,3.635
2021-2025,10,BE,Belgium,1236,47038,0.026277,2.628
2021-2025,11,PL,Poland,1160,47038,0.024661,2.466
2021-2025,12,FI,Finland,1107,47038,0.023534,2.353
2021-2025,13,CZ,Czechia,780,47038,0.016582,1.658
2021-2025,14,GR,Greece,648,47038,0.013776,1.378
2021-2025,15,PT,Portugal,615,47038,0.013075,1.307
2021-2025,16,IE,Ireland,542,47038,0.011523,1.152
2021-2025,17,LU,LU,324,47038,0.006888,0.689
2021-2025,18,HU,HU,169,47038,0.003593,0.359
2021-2025,19,RO,RO,141,47038,0.002998,0.3
2021-2025,20,EE,EE,126,47038,0.002679,0.268
2021-2025,21,SI,SI,123,47038,0.002615,0.261
2021-2025,22,SK,SK,110,47038,0.002339,0.234
2021-2025,23,CY,CY,97,47038,0.002062,0.206
2021-2025,24,BG,BG,95,47038,0.00202,0.202
2021-2025,25,HR,HR,51,47038,0.001084,0.108
2021-2025,26,LV,LV,11,47038,0.000234,0.023
2021-2025,26,MT,MT,11,47038,0.000234,0.023
2021-2025,28,LT,LT,10,47038,0.000213,0.021
