area,area_report_label,window,rank_eu27_uk,country_code,country_name,country_articles,eu27_uk_articles,share_eu27_uk,share_eu27_uk_pct
Bases de datos,Bases de datos,2011-2015,10,IE,Ireland,93,2905,0.032014,3.201
Bases de datos,Bases de datos,2011-2015,11,AT,Austria,68,2905,0.023408,2.341
Bases de datos,Bases de datos,2011-2015,12,FI,Finland,58,2905,0.019966,1.997
Bases de datos,Bases de datos,2011-2015,13,SE,Sweden,35,2905,0.012048,1.205
Bases de datos,Bases de datos,2011-2015,14,PT,Portugal,30,2905,0.010327,1.033
Bases de datos,Bases de datos,2011-2015,15,CZ,Czechia,12,2905,0.004131,0.413
Bases de datos,Bases de datos,2011-2015,16,PL,Poland,10,2905,0.003442,0.344
Bases de datos,Bases de datos,2011-2015,17,SI,SI,6,2905,0.002065,0.207
Bases de datos,Bases de datos,2011-2015,18,RO,RO,5,2905,0.001721,0.172
Bases de datos,Bases de datos,2011-2015,19,CY,CY,4,2905,0.001377,0.138
Bases de datos,Bases de datos,2011-2015,19,EE,EE,4,2905,0.001377,0.138
Bases de datos,Bases de datos,2011-2015,21,SK,SK,3,2905,0.001033,0.103
Bases de datos,Bases de datos,2011-2015,22,LU,LU,2,2905,0.000688,0.069
Bases de datos,Bases de datos,2011-2015,23,BG,BG,1,2905,0.000344,0.034
Bases de datos,Bases de datos,2011-2015,23,HR,HR,1,2905,0.000344,0.034
Bases de datos,Bases de datos,2011-2015,23,HU,HU,1,2905,0.000344,0.034
Bases de datos,Bases de datos,2011-2015,23,LT,LT,1,2905,0.000344,0.034
Bases de datos,Bases de datos,2016-2020,1,DE,Germany,846,2977,0.284179,28.418
Bases de datos,Bases de datos,2016-2020,2,GB,United Kingdom,776,2977,0.260665,26.067
Bases de datos,Bases de datos,2016-2020,3,FR,France,384,2977,0.128989,12.899
Bases de datos,Bases de datos,2016-2020,4,IT,Italy,324,2977,0.108834,10.883
Bases de datos,Bases de datos,2016-2020,5,NL,Netherlands,280,2977,0.094054,9.405
Bases de datos,Bases de datos,2016-2020,6,DK,Denmark,158,2977,0.053074,5.307
Bases de datos,Bases de datos,2016-2020,7,ES,Spain,152,2977,0.051058,5.106
Bases de datos,Bases de datos,2016-2020,8,AT,Austria,121,2977,0.040645,4.064
Bases de datos,Bases de datos,2016-2020,9,GR,Greece,118,2977,0.039637,3.964
Bases de datos,Bases de datos,2016-2020,10,BE,Belgium,91,2977,0.030568,3.057
Bases de datos,Bases de datos,2016-2020,11,FI,Finland,87,2977,0.029224,2.922
Bases de datos,Bases de datos,2016-2020,12,IE,Ireland,52,2977,0.017467,1.747
Bases de datos,Bases de datos,2016-2020,13,SE,Sweden,49,2977,0.01646,1.646
Bases de datos,Bases de datos,2016-2020,14,PT,Portugal,43,2977,0.014444,1.444
Bases de datos,Bases de datos,2016-2020,15,PL,Poland,17,2977,0.00571,0.571
Bases de datos,Bases de datos,2016-2020,16,CY,CY,15,2977,0.005039,0.504
Bases de datos,Bases de datos,2016-2020,17,CZ,Czechia,14,2977,0.004703,0.47
Bases de datos,Bases de datos,2016-2020,17,LU,LU,14,2977,0.004703,0.47
Bases de datos,Bases de datos,2016-2020,19,HU,HU,6,2977,0.002015,0.202
Bases de datos,Bases de datos,2016-2020,20,EE,EE,4,2977,0.001344,0.134
Bases de datos,Bases de datos,2016-2020,20,RO,RO,4,2977,0.001344,0.134
Bases de datos,Bases de datos,2016-2020,20,SI,SI,4,2977,0.001344,0.134
Bases de datos,Bases de datos,2016-2020,23,BG,BG,2,2977,0.000672,0.067
Bases de datos,Bases de datos,2016-2020,23,HR,HR,2,2977,0.000672,0.067
Bases de datos,Bases de datos,2016-2020,23,SK,SK,2,2977,0.000672,0.067
Bases de datos,Bases de datos,2021-2025,1,DE,Germany,966,3636,0.265677,26.568
Bases de datos,Bases de datos,2021-2025,2,GB,United Kingdom,897,3636,0.2467,24.67
Bases de datos,Bases de datos,2021-2025,3,IT,Italy,454,3636,0.124862,12.486
Bases de datos,Bases de datos,2021-2025,4,FR,France,436,3636,0.119912,11.991
Bases de datos,Bases de datos,2021-2025,5,NL,Netherlands,417,3636,0.114686,11.469
Bases de datos,Bases de datos,2021-2025,6,DK,Denmark,265,3636,0.072882,7.288
Bases de datos,Bases de datos,2021-2025,7,AT,Austria,175,3636,0.04813,4.813
Bases de datos,Bases de datos,2021-2025,8,ES,Spain,158,3636,0.043454,4.345
Bases de datos,Bases de datos,2021-2025,9,GR,Greece,139,3636,0.038229,3.823
Bases de datos,Bases de datos,2021-2025,10,FI,Finland,95,3636,0.026128,2.613
Bases de datos,Bases de datos,2021-2025,10,SE,Sweden,95,3636,0.026128,2.613
Bases de datos,Bases de datos,2021-2025,12,BE,Belgium,85,3636,0.023377,2.338
Bases de datos,Bases de datos,2021-2025,13,PL,Poland,78,3636,0.021452,2.145
Bases de datos,Bases de datos,2021-2025,14,IE,Ireland,56,3636,0.015402,1.54
Bases de datos,Bases de datos,2021-2025,15,PT,Portugal,51,3636,0.014026,1.403
Bases de datos,Bases de datos,2021-2025,16,CZ,Czechia,28,3636,0.007701,0.77
Bases de datos,Bases de datos,2021-2025,17,CY,CY,18,3636,0.00495,0.495
Bases de datos,Bases de datos,2021-2025,18,LU,LU,15,3636,0.004125,0.413
Bases de datos,Bases de datos,2021-2025,19,SI,SI,8,3636,0.0022,0.22
Bases de datos,Bases de datos,2021-2025,20,RO,RO,7,3636,0.001925,0.193
Bases de datos,Bases de datos,2021-2025,21,SK,SK,5,3636,0.001375,0.138
Bases de datos,Bases de datos,2021-2025,22,EE,EE,4,3636,0.0011,0.11
Bases de datos,Bases de datos,2021-2025,22,HU,HU,4,3636,0.0011,0.11
Bases de datos,Bases de datos,2021-2025,24,HR,HR,3,3636,0.000825,0.083
Bases de datos,Bases de datos,2021-2025,25,LT,LT,2,3636,0.00055,0.055
Bases de datos,Bases de datos,2021-2025,26,BG,BG,1,3636,0.000275,0.028
Bases de datos,Bases de datos,2021-2025,26,LV,LV,1,3636,0.000275,0.028
HCI,HCI,2001-2005,1,GB,United Kingdom,331,1061,0.31197,31.197
HCI,HCI,2001-2005,2,DE,Germany,306,1061,0.288407,28.841
HCI,HCI,2001-2005,3,FR,France,103,1061,0.097078,9.708
HCI,HCI,2001-2005,4,SE,Sweden,75,1061,0.070688,7.069
HCI,HCI,2001-2005,5,AT,Austria,63,1061,0.059378,5.938
HCI,HCI,2001-2005,6,NL,Netherlands,56,1061,0.05278,5.278
HCI,HCI,2001-2005,7,IT,Italy,49,1061,0.046183,4.618
HCI,HCI,2001-2005,8,FI,Finland,38,1061,0.035815,3.582
HCI,HCI,2001-2005,9,DK,Denmark,29,1061,0.027333,2.733
HCI,HCI,2001-2005,10,IE,Ireland,23,1061,0.021678,2.168
HCI,HCI,2001-2005,11,BE,Belgium,16,1061,0.01508,1.508
HCI,HCI,2001-2005,12,ES,Spain,14,1061,0.013195,1.32
HCI,HCI,2001-2005,13,PT,Portugal,13,1061,0.012253,1.225
HCI,HCI,2001-2005,14,GR,Greece,6,1061,0.005655,0.566
HCI,HCI,2001-2005,15,PL,Poland,5,1061,0.004713,0.471
HCI,HCI,2001-2005,16,CZ,Czechia,4,1061,0.00377,0.377
HCI,HCI,2001-2005,17,CY,CY,2,1061,0.001885,0.189
HCI,HCI,2001-2005,17,HU,HU,2,1061,0.001885,0.189
HCI,HCI,2001-2005,19,BG,BG,1,1061,0.000943,0.094
HCI,HCI,2001-2005,19,RO,RO,1,1061,0.000943,0.094
HCI,HCI,2001-2005,19,SI,SI,1,1061,0.000943,0.094
HCI,HCI,2001-2005,19,SK,SK,1,1061,0.000943,0.094
HCI,HCI,2006-2010,1,GB,United Kingdom,619,1889,0.327687,32.769
HCI,HCI,2006-2010,2,DE,Germany,450,1889,0.238221,23.822
HCI,HCI,2006-2010,3,FR,France,274,1889,0.14505,14.505
HCI,HCI,2006-2010,4,FI,Finland,95,1889,0.050291,5.029
HCI,HCI,2006-2010,4,NL,Netherlands,95,1889,0.050291,5.029
HCI,HCI,2006-2010,6,SE,Sweden,93,1889,0.049232,4.923
HCI,HCI,2006-2010,7,AT,Austria,90,1889,0.047644,4.764
HCI,HCI,2006-2010,8,DK,Denmark,78,1889,0.041292,4.129
HCI,HCI,2006-2010,9,IT,Italy,66,1889,0.034939,3.494
HCI,HCI,2006-2010,10,ES,Spain,64,1889,0.03388,3.388
HCI,HCI,2006-2010,11,IE,Ireland,55,1889,0.029116,2.912
HCI,HCI,2006-2010,12,BE,Belgium,27,1889,0.014293,1.429
HCI,HCI,2006-2010,13,CZ,Czechia,17,1889,0.008999,0.9
HCI,HCI,2006-2010,14,PT,Portugal,16,1889,0.00847,0.847
HCI,HCI,2006-2010,15,GR,Greece,11,1889,0.005823,0.582
HCI,HCI,2006-2010,16,HU,HU,9,1889,0.004764,0.476
HCI,HCI,2006-2010,17,PL,Poland,7,1889,0.003706,0.371
HCI,HCI,2006-2010,18,CY,CY,4,1889,0.002118,0.212
HCI,HCI,2006-2010,19,LU,LU,3,1889,0.001588,0.159
HCI,HCI,2006-2010,20,SK,SK,2,1889,0.001059,0.106
HCI,HCI,2006-2010,21,HR,HR,1,1889,0.000529,0.053
HCI,HCI,2006-2010,21,LV,LV,1,1889,0.000529,0.053
HCI,HCI,2006-2010,21,MT,MT,1,1889,0.000529,0.053
HCI,HCI,2006-2010,21,SI,SI,1,1889,0.000529,0.053
HCI,HCI,2011-2015,1,GB,United Kingdom,1000,2911,0.343525,34.352
HCI,HCI,2011-2015,2,DE,Germany,736,2911,0.252834,25.283
HCI,HCI,2011-2015,3,FR,France,388,2911,0.133288,13.329
HCI,HCI,2011-2015,4,AT,Austria,162,2911,0.055651,5.565
HCI,HCI,2011-2015,5,NL,Netherlands,142,2911,0.04878,4.878
HCI,HCI,2011-2015,6,FI,Finland,137,2911,0.047063,4.706
HCI,HCI,2011-2015,7,DK,Denmark,130,2911,0.044658,4.466
HCI,HCI,2011-2015,8,ES,Spain,122,2911,0.04191,4.191
HCI,HCI,2011-2015,9,SE,Sweden,118,2911,0.040536,4.054
HCI,HCI,2011-2015,10,IT,Italy,103,2911,0.035383,3.538
HCI,HCI,2011-2015,11,IE,Ireland,72,2911,0.024734,2.473
HCI,HCI,2011-2015,12,PT,Portugal,63,2911,0.021642,2.164
HCI,HCI,2011-2015,13,BE,Belgium,46,2911,0.015802,1.58
HCI,HCI,2011-2015,14,CZ,Czechia,28,2911,0.009619,0.962
HCI,HCI,2011-2015,15,GR,Greece,26,2911,0.008932,0.893
HCI,HCI,2011-2015,16,PL,Poland,19,2911,0.006527,0.653
HCI,HCI,2011-2015,17,HU,HU,13,2911,0.004466,0.447
HCI,HCI,2011-2015,18,CY,CY,7,2911,0.002405,0.24
HCI,HCI,2011-2015,19,SK,SK,6,2911,0.002061,0.206
HCI,HCI,2011-2015,20,RO,RO,5,2911,0.001718,0.172
HCI,HCI,2011-2015,21,EE,EE,3,2911,0.001031,0.103
HCI,HCI,2011-2015,21,SI,SI,3,2911,0.001031,0.103
HCI,HCI,2011-2015,23,LU,LU,2,2911,0.000687,0.069
HCI,HCI,2011-2015,23,MT,MT,2,2911,0.000687,0.069
HCI,HCI,2011-2015,25,BG,BG,1,2911,0.000344,0.034
HCI,HCI,2011-2015,25,HR,HR,1,2911,0.000344,0.034
HCI,HCI,2016-2020,1,GB,United Kingdom,1069,3291,0.324825,32.483
HCI,HCI,2016-2020,2,DE,Germany,842,3291,0.255849,25.585
HCI,HCI,2016-2020,3,FR,France,354,3291,0.107566,10.757
HCI,HCI,2016-2020,4,NL,Netherlands,267,3291,0.08113,8.113
HCI,HCI,2016-2020,5,DK,Denmark,240,3291,0.072926,7.293
HCI,HCI,2016-2020,6,FI,Finland,195,3291,0.059253,5.925
HCI,HCI,2016-2020,7,SE,Sweden,176,3291,0.053479,5.348
HCI,HCI,2016-2020,8,IT,Italy,167,3291,0.050744,5.074
HCI,HCI,2016-2020,9,AT,Austria,136,3291,0.041325,4.132
HCI,HCI,2016-2020,10,IE,Ireland,85,3291,0.025828,2.583
HCI,HCI,2016-2020,11,BE,Belgium,70,3291,0.02127,2.127
HCI,HCI,2016-2020,12,ES,Spain,66,3291,0.020055,2.005
HCI,HCI,2016-2020,13,PT,Portugal,56,3291,0.017016,1.702
HCI,HCI,2016-2020,14,GR,Greece,30,3291,0.009116,0.912
HCI,HCI,2016-2020,15,CZ,Czechia,28,3291,0.008508,0.851
HCI,HCI,2016-2020,16,CY,CY,23,3291,0.006989,0.699
HCI,HCI,2016-2020,17,PL,Poland,14,3291,0.004254,0.425
HCI,HCI,2016-2020,18,RO,RO,12,3291,0.003646,0.365
HCI,HCI,2016-2020,19,LU,LU,6,3291,0.001823,0.182
HCI,HCI,2016-2020,20,EE,EE,5,3291,0.001519,0.152
HCI,HCI,2016-2020,21,SI,SI,4,3291,0.001215,0.122
HCI,HCI,2016-2020,21,SK,SK,4,3291,0.001215,0.122
HCI,HCI,2016-2020,23,HR,HR,2,3291,0.000608,0.061
HCI,HCI,2016-2020,24,BG,BG,1,3291,0.000304,0.03
HCI,HCI,2016-2020,24,HU,HU,1,3291,0.000304,0.03
HCI,HCI,2016-2020,24,MT,MT,1,3291,0.000304,0.03
HCI,HCI,2021-2025,1,GB,United Kingdom,1162,3734,0.311194,31.119
HCI,HCI,2021-2025,2,DE,Germany,1057,3734,0.283074,28.307
HCI,HCI,2021-2025,3,FR,France,381,3734,0.102035,10.204
HCI,HCI,2021-2025,4,NL,Netherlands,371,3734,0.099357,9.936
HCI,HCI,2021-2025,5,DK,Denmark,293,3734,0.078468,7.847
HCI,HCI,2021-2025,6,SE,Sweden,282,3734,0.075522,7.552
HCI,HCI,2021-2025,7,AT,Austria,178,3734,0.04767,4.767
HCI,HCI,2021-2025,8,FI,Finland,175,3734,0.046867,4.687
HCI,HCI,2021-2025,9,IT,Italy,162,3734,0.043385,4.339
HCI,HCI,2021-2025,10,PT,Portugal,107,3734,0.028656,2.866
HCI,HCI,2021-2025,11,ES,Spain,99,3734,0.026513,2.651
HCI,HCI,2021-2025,12,IE,Ireland,88,3734,0.023567,2.357
HCI,HCI,2021-2025,13,BE,Belgium,83,3734,0.022228,2.223
HCI,HCI,2021-2025,14,LU,LU,35,3734,0.009373,0.937
HCI,HCI,2021-2025,15,PL,Poland,33,3734,0.008838,0.884
HCI,HCI,2021-2025,16,CZ,Czechia,31,3734,0.008302,0.83
HCI,HCI,2021-2025,17,GR,Greece,14,3734,0.003749,0.375
HCI,HCI,2021-2025,17,RO,RO,14,3734,0.003749,0.375
HCI,HCI,2021-2025,19,EE,EE,12,3734,0.003214,0.321
HCI,HCI,2021-2025,19,SI,SI,12,3734,0.003214,0.321
HCI,HCI,2021-2025,21,CY,CY,8,3734,0.002142,0.214
HCI,HCI,2021-2025,22,HU,HU,4,3734,0.001071,0.107
HCI,HCI,2021-2025,23,SK,SK,2,3734,0.000536,0.054
HCI,HCI,2021-2025,24,BG,BG,1,3734,0.000268,0.027
HCI,HCI,2021-2025,24,HR,HR,1,3734,0.000268,0.027
HCI,HCI,2021-2025,24,LT,LT,1,3734,0.000268,0.027
IA / ML,IA / ML,2001-2005,1,GB,United Kingdom,1109,5293,0.209522,20.952
IA / ML,IA / ML,2001-2005,2,FR,France,1101,5293,0.208011,20.801
IA / ML,IA / ML,2001-2005,3,DE,Germany,969,5293,0.183072,18.307
IA / ML,IA / ML,2001-2005,4,IT,Italy,496,5293,0.093709,9.371
IA / ML,IA / ML,2001-2005,5,ES,Spain,449,5293,0.084829,8.483
IA / ML,IA / ML,2001-2005,6,NL,Netherlands,442,5293,0.083507,8.351
IA / ML,IA / ML,2001-2005,7,SE,Sweden,211,5293,0.039864,3.986
IA / ML,IA / ML,2001-2005,8,BE,Belgium,163,5293,0.030795,3.08
IA / ML,IA / ML,2001-2005,9,GR,Greece,134,5293,0.025316,2.532
IA / ML,IA / ML,2001-2005,10,FI,Finland,126,5293,0.023805,2.381
IA / ML,IA / ML,2001-2005,11,PT,Portugal,108,5293,0.020404,2.04
IA / ML,IA / ML,2001-2005,12,IE,Ireland,63,5293,0.011903,1.19
IA / ML,IA / ML,2001-2005,13,AT,Austria,62,5293,0.011714,1.171
IA / ML,IA / ML,2001-2005,14,DK,Denmark,61,5293,0.011525,1.152
IA / ML,IA / ML,2001-2005,15,CZ,Czechia,58,5293,0.010958,1.096
IA / ML,IA / ML,2001-2005,16,SI,SI,51,5293,0.009635,0.964
IA / ML,IA / ML,2001-2005,17,PL,Poland,48,5293,0.009069,0.907
IA / ML,IA / ML,2001-2005,18,HU,HU,29,5293,0.005479,0.548
IA / ML,IA / ML,2001-2005,19,RO,RO,11,5293,0.002078,0.208
IA / ML,IA / ML,2001-2005,20,HR,HR,9,5293,0.0017,0.17
IA / ML,IA / ML,2001-2005,21,CY,CY,6,5293,0.001134,0.113
IA / ML,IA / ML,2001-2005,22,BG,BG,5,5293,0.000945,0.094
IA / ML,IA / ML,2001-2005,22,LU,LU,5,5293,0.000945,0.094
IA / ML,IA / ML,2001-2005,24,SK,SK,3,5293,0.000567,0.057
IA / ML,IA / ML,2001-2005,25,EE,EE,2,5293,0.000378,0.038
IA / ML,IA / ML,2001-2005,25,LT,LT,2,5293,0.000378,0.038
IA / ML,IA / ML,2001-2005,27,LV,LV,1,5293,0.000189,0.019
IA / ML,IA / ML,2006-2010,1,DE,Germany,2246,9144,0.245626,24.563
IA / ML,IA / ML,2006-2010,2,GB,United Kingdom,1890,9144,0.206693,20.669
IA / ML,IA / ML,2006-2010,3,FR,France,1887,9144,0.206365,20.636
IA / ML,IA / ML,2006-2010,4,ES,Spain,816,9144,0.089239,8.924
IA / ML,IA / ML,2006-2010,5,IT,Italy,777,9144,0.084974,8.497
IA / ML,IA / ML,2006-2010,6,NL,Netherlands,549,9144,0.060039,6.004
IA / ML,IA / ML,2006-2010,7,SE,Sweden,285,9144,0.031168,3.117
IA / ML,IA / ML,2006-2010,8,BE,Belgium,262,9144,0.028653,2.865
IA / ML,IA / ML,2006-2010,9,PT,Portugal,222,9144,0.024278,2.428
IA / ML,IA / ML,2006-2010,10,AT,Austria,221,9144,0.024169,2.417
IA / ML,IA / ML,2006-2010,11,GR,Greece,214,9144,0.023403,2.34
IA / ML,IA / ML,2006-2010,12,FI,Finland,200,9144,0.021872,2.187
IA / ML,IA / ML,2006-2010,13,CZ,Czechia,137,9144,0.014983,1.498
IA / ML,IA / ML,2006-2010,14,IE,Ireland,131,9144,0.014326,1.433
IA / ML,IA / ML,2006-2010,15,DK,Denmark,115,9144,0.012577,1.258
IA / ML,IA / ML,2006-2010,16,PL,Poland,80,9144,0.008749,0.875
IA / ML,IA / ML,2006-2010,17,SI,SI,52,9144,0.005687,0.569
IA / ML,IA / ML,2006-2010,18,HU,HU,36,9144,0.003937,0.394
IA / ML,IA / ML,2006-2010,19,RO,RO,31,9144,0.00339,0.339
IA / ML,IA / ML,2006-2010,20,LU,LU,18,9144,0.001969,0.197
IA / ML,IA / ML,2006-2010,21,SK,SK,11,9144,0.001203,0.12
IA / ML,IA / ML,2006-2010,22,HR,HR,8,9144,0.000875,0.087
IA / ML,IA / ML,2006-2010,23,BG,BG,7,9144,0.000766,0.077
IA / ML,IA / ML,2006-2010,23,CY,CY,7,9144,0.000766,0.077
IA / ML,IA / ML,2006-2010,23,EE,EE,7,9144,0.000766,0.077
IA / ML,IA / ML,2006-2010,26,LT,LT,2,9144,0.000219,0.022
IA / ML,IA / ML,2006-2010,26,LV,LV,2,9144,0.000219,0.022
IA / ML,IA / ML,2006-2010,26,MT,MT,2,9144,0.000219,0.022
IA / ML,IA / ML,2011-2015,1,DE,Germany,2808,10640,0.26391,26.391
IA / ML,IA / ML,2011-2015,2,GB,United Kingdom,2353,10640,0.221147,22.115
IA / ML,IA / ML,2011-2015,3,FR,France,2038,10640,0.191541,19.154
IA / ML,IA / ML,2011-2015,4,IT,Italy,1055,10640,0.099154,9.915
IA / ML,IA / ML,2011-2015,5,ES,Spain,827,10640,0.077726,7.773
IA / ML,IA / ML,2011-2015,6,NL,Netherlands,657,10640,0.061748,6.175
IA / ML,IA / ML,2011-2015,7,AT,Austria,381,10640,0.035808,3.581
IA / ML,IA / ML,2011-2015,8,SE,Sweden,370,10640,0.034774,3.477
IA / ML,IA / ML,2011-2015,9,BE,Belgium,329,10640,0.030921,3.092
IA / ML,IA / ML,2011-2015,10,PT,Portugal,268,10640,0.025188,2.519
IA / ML,IA / ML,2011-2015,11,GR,Greece,258,10640,0.024248,2.425
IA / ML,IA / ML,2011-2015,12,CZ,Czechia,181,10640,0.017011,1.701
IA / ML,IA / ML,2011-2015,13,FI,Finland,180,10640,0.016917,1.692
IA / ML,IA / ML,2011-2015,14,IE,Ireland,155,10640,0.014568,1.457
IA / ML,IA / ML,2011-2015,15,DK,Denmark,136,10640,0.012782,1.278
IA / ML,IA / ML,2011-2015,16,PL,Poland,106,10640,0.009962,0.996
IA / ML,IA / ML,2011-2015,17,RO,RO,62,10640,0.005827,0.583
IA / ML,IA / ML,2011-2015,18,SI,SI,53,10640,0.004981,0.498
IA / ML,IA / ML,2011-2015,19,HU,HU,39,10640,0.003665,0.367
IA / ML,IA / ML,2011-2015,20,LU,LU,28,10640,0.002632,0.263
IA / ML,IA / ML,2011-2015,21,HR,HR,21,10640,0.001974,0.197
IA / ML,IA / ML,2011-2015,22,SK,SK,16,10640,0.001504,0.15
IA / ML,IA / ML,2011-2015,23,EE,EE,11,10640,0.001034,0.103
IA / ML,IA / ML,2011-2015,24,CY,CY,9,10640,0.000846,0.085
IA / ML,IA / ML,2011-2015,25,BG,BG,8,10640,0.000752,0.075
IA / ML,IA / ML,2011-2015,26,MT,MT,5,10640,0.00047,0.047
IA / ML,IA / ML,2011-2015,27,LT,LT,2,10640,0.000188,0.019
IA / ML,IA / ML,2011-2015,27,LV,LV,2,10640,0.000188,0.019
IA / ML,IA / ML,2016-2020,1,GB,United Kingdom,4980,15139,0.328952,32.895
IA / ML,IA / ML,2016-2020,2,DE,Germany,3775,15139,0.249356,24.936
IA / ML,IA / ML,2016-2020,3,FR,France,2278,15139,0.150472,15.047
IA / ML,IA / ML,2016-2020,4,IT,Italy,1339,15139,0.088447,8.845
IA / ML,IA / ML,2016-2020,5,NL,Netherlands,961,15139,0.063478,6.348
IA / ML,IA / ML,2016-2020,6,ES,Spain,780,15139,0.051523,5.152
IA / ML,IA / ML,2016-2020,7,SE,Sweden,590,15139,0.038972,3.897
IA / ML,IA / ML,2016-2020,8,AT,Austria,510,15139,0.033688,3.369
IA / ML,IA / ML,2016-2020,9,BE,Belgium,389,15139,0.025695,2.57
